%	Clasificador de Trabajos Especiales de Grado
%
%	Mineria de Datos Sem II 
%
%	De Freitas, De Tejada, Vergara
%
@relation ClasificadorTEG
@ATTRIBUTE Titulo string
@ATTRIBUTE Resumen string
@ATTRIBUTE Palabras_Clave string
@ATTRIBUTE Mencion {'APLICACIONES EN INTERNET', 'BASES DE DATOS', 'CALCULO CIENTIFICO', 'COMPUTACION GRAFICA', 'INGENIERIA DE SOFTWARE', 'INTELIGENCIA ARTIFICIAL', 'MODELOS Y PROGRAMACION MATEMATICA', 'REDES DE COMPUTADORAS', 'SISTEMAS DE INFORMACION', 'SISTEMAS DISTRIBUIDOS Y PARALELOS', 'TECNOLOGIAS EDUCATIVAS'}
@DATA
'DISENO E IMPLEMENTACION DE UN PUNTO DE ACCESO INFORMATIVO INALAMBRICO USANDO IRDA Y BLUETOOTH', 'LAS TELECOMUNICACIONES EN GENERAL Y EN ESPECIAL LAS REDES HAN EVOLUCIONADO MUCHO A LO LARGO DE LOS ANOS, PASANDO DE LAS CONEXIONES COAXIALES QUE ERAN INESTABLES Y LENTAS 10 MEGABITS POR SEGUNDO HASTA LAS CONEXIONES CON CABLES UTP UNSHIELDED TWISTED PAIR, CABLE DE PAR TRENZADO SIN APANTALLAR QUE ALCANZAN ACTUALMENTE 10 GIGABITS POR SEGUNDO SIN EMBARGO, LA INQUIETUD DE LOS USUARIOS HA LLEGADO MAS ALLA DE LA VELOCIDAD Y ESTO HA LLEVADO AL INTERCAMBIO DE DATOS DE MANERA INALAMBRICA, DESDE CUALQUIER LUGAR Y EN CUALQUIER MOMENTO, COMENZANDO EN UN PRINCIPIO CON UNA TECNOLOGIA MUY ECONOMICA Y FACIL DE INTEGRAR EN DISPOSITIVOS OCUPANDO MUY POCO ESPACIO, COMO LO ES LA RADIACION INFRARROJA ESTA TECNOLOGIA QUE SE CONOCE COMO IRDA, OFRECE VELOCIDADES DE HASTA 16MBPS 100MBPS EN DESARROLLO Y UNA DISTANCIA PROMEDIO ENTRE LOS DISPOSITIVOS DE 1 METRO DICHA TECNOLOGIA TIENE COMO LIMITANTES QUE LA LINEA DE VISTA QUE DEBE EXISTIR ENTRE LOS DISPOSITIVOS A CONECTAR NO PUEDE TENER OBSTACULOS Y ESTA CONCEBIDO AUNQUE NO LIMITADO A CONEXIONES PUNTO A PUNTO MAS RECIENTEMENTE SE HAN INTEGRADO EN TELEFONOS CELULARES, LAPTOPS Y PDAS PERSONAL DIGITAL ASISTANT, ASISTENTE PERSONAL DIGITAL, TECNOLOGIAS DE INTERCONEXION INALAMBRICA QUE VIENEN A COMPLEMENTAR LAS DEFICIENCIAS DEJADAS POR IRDA, COMO LOS SON BLUETOOTH Y MAS RECIENTEMENTE WIFI ESTAS TECNOLOGIAS OFRECEN MAYORES DISTANCIAS Y LA POSIBILIDAD DE TRASPASAR CIERTOS OBSTACULOS, AUNQUE EN EL CASO DE BLUETOOTH LA VELOCIDAD ES MENOR QUE LA DE IRDA, PUDIENDO ALCANZAR HASTA 721KBPS PERO OFRECIENDO MAYORES DISTANCIAS ATRAVESANDO INCLUSO PAREDES, ELIMINANDO ASI LA LIMITANTE DE LA LINEA DE VISTA DIRECTA Y CONCIBIENDO CONEXIONES TANTO PUNTO A PUNTO COMO PUNTO MULTIPUNTO ESTE TRABAJO SE BASA EN EL ANALISIS, DISENO Y DESARROLLO DE UNA APLICACION DENOMINADA PUNTO DE ACCESO INFORMATIVO, LA CUAL PROPORCIONA UNA SERIE DE SERVICIOS QUE PERMITEN EL ACCESO INALAMBRICO A INFORMACION DIVERSA TAL COMO NOTAS, CODIGOS DE MATERIAS, INTERCAMBIO DE MENSAJES, ENTRE OTROS, DENTRO DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA, A TRAVES DEL USO DE LAS TECNOLOGIAS IRDA Y BLUETOOTH',?,'REDES DE COMPUTADORAS'
'ANALISIS DEL ESTABLECIMIENTO DE LA CONEXION BANDABASE EN IMPLEMENTACIONES DE DIVERSOS FABRICANTES DE DISPOSITIVOS BLUETOOTH', 'EN EL PRESENTE TRABAJO DE INVESTIGACION, SE REALIZA UN ANALISIS DEL ESTABLECIMIENTO DE LA CONEXION DEL PROTOCOLO BANDABASE EN IMPLEMENTACIONES DE DIVERSOS FABRICANTES DE DISPOSITIVOS BLUETOOTH, BASADO EN EL RESULTADO DE VARIAS PRUEBAS DE CONEXION, REALIZADAS CON UN ANALIZADOR DE TRAFICO DE TRAMAS DE DATOS SNIFFER DE DISPOSITIVOS BLUETOOTH SE HIZO UN ESTUDIO RELACIONADO A LA TEORIA DEL PROTOCOLO DE CONEXION BANDABASE DE BLUETOOTH, CENTRADO EN LOS DIAGRAMAS DE ESTADOS GENERADOS DURANTE EL ACOPLAMIENTO DE LOS DE DOS DISPOSITIVOS Y LAS CAPAS LOGICAS SOBRE LAS QUE TRABAJAN BLUETOOTH UNA VEZ RECONOCIDOS TODOS LOS ESTADOS Y LAS CAPAS LOGICAS, SE ESCOGIO UN GRUPO DE DISPOSITIVOS BLUETOOTH DE DIVERSOS FABRICANTES COMO NOKIA, SONY ERICSSON, PALM, BLACKBERRY ENTRE LOS MAS RECONOCIDOS, PARA REALIZAR PRUEBAS SE BUSCO UN SNIFFER HCIDUMP QUE FUERA GRATIS, Y QUE PERMITIERA REALIZAR LAS CAPTURAS DE LAS TRAMAS TRANSMITIDAS POR LOS DISPOSITIVOS BLUETOOTH EL SNIFFER ENCONTRADO, CAPTURA LAS TRAMAS A NIVEL DEL INTERFAZ DE CONTROL DE HOST HCI HOST CONTROLLER INTERFACE QUE ES UNA INTERFAZ QUE PERMITE COMUNICAR EL CONTROLADOR DE HOST PARA PUERTO USB, BUS SERIAL UNIVERSAL USB UNIVERSAL SERIAL BUS CON EL SISTEMA OPERATIVO, LAS CAPTURAS DEL MISMO SON REVELADAS EN FORMATO HEXADECIMAL POR ULTIMO SE BUSCO UN INTERPRETE DE PAQUETES DE NIVEL MAS ALTO WIRESHARK QUE PERMITIERA IDENTIFICAR MEJOR LOS PAQUETES OBTENIDOS EN FORMATO HEXADECIMAL POR EL SNIFFER HCIDUMP A CODIGO ASCII',?,'REDES DE COMPUTADORAS'
'INTEGRACION DE LAS TECNOLOGIAS IEEE 80211B WLAN Y CDMA 1XRTT WWAN MEDIANTE EL PROTOCOLO IP MOVIL', 'UNA DE LAS NECESIDADES QUE PRESENTAN LOS USUARIOS DE HOY EN DIA QUE MANEJAN DISPOSITIVOS MOVILES, APARTE DEL SERVICIO DE VOZ, SON LAS TRANSMISIONES DE DATOS ESTAS NECESIDADES SE HAN VISTO BENEFICIADAS A TRAVES DEL USO DE LAS REDES INALAMBRICAS, YA QUE PERMITEN ACCEDER A LOS DATOS DESDE CUALQUIER LOCALIDAD FRENTE A ESTAS NECESIDADES, LAS COMPANIAS DE TELECOMUNICACIONES REALIZAN INVESTIGACIONES DESDE HACE MUCHO TIEMPO CON EL FIN DE PROVEER SOLUCIONES QUE HABILITEN A LOS USUARIOS PARA ACCEDER A INTERNET CON LA MISMA COBERTURA DE ESPECTRO DISPERSO COMO LOS SERVICIOS DE VOZ DE HOY EN DIA PARA ACCEDER A LOS DATOS MEDIANTE UNA GRAN VARIEDAD DE DISPOSITIVOS MOVILES SIN IMPORTAR EL LUGAR NI EL MOMENTO, SE UTILIZAN LAS REDES INALAMBRICAS PARA ESTA INVESTIGACION SE TRATARON EN ESPECIFICO LAS REDES DE AREA LOCAL INALAMBRICAS WLAN, ESPECIFICAMENTE LA TECNOLOGIA IEEE 80211B Y LAS REDES DE AREA AMPLIA INALAMBRICAS WWAN, ENTRE LAS QUE DESTACAN LAS REDES CELULARES CON LA TECNOLOGIA ESPECIFICA CDMA 1XRTT LAS TECNOLOGIAS MENCIONADAS ANTERIORMENTE, TIENEN CARACTERISTICAS PARTICULARES QUE INDUCEN A INTEGRAR DICHAS PLATAFORMAS PARA OFRECER MAYOR VARIEDAD DE SERVICIOS CON MAYORES PRESTACIONES EN ESTA INVESTIGACION SE TRATARA EL TEMA RELACIONADO A LA INTEGRACION DE LAS TECNOLOGIAS 80211B Y CDMA 1XRTT, UTILIZANDO EL PROTOCOLO IP MOVIL IPV4 CUYO OBJETIVO FUNDAMENTAL ES MIGRAR DE UNA TECNOLOGIA A LA OTRA DE FORMA TRANSPARENTE PARA EL USUARIO,  SIN PERDER CONEXION Y MANTENIENDO LA MISMA DIRECCION IP',?,'REDES DE COMPUTADORAS'
'DESARROLLO DE UN SISTEMA DE MONITOREO MATERNAL PARA LA TRANSMISION DE AUDIO Y VIDEO EN TIEMPO REAL, UTILIZANDO LAS TECNOLOGIAS INALAMBRICAS WIFI Y BLUETOOTH',  'UNA DE LAS CONSECUENCIAS DE LA EVOLUCION TECNOLOGICA EN LOS ULTIMOS TIEMPOS HA SIDO EL INCREMENTO EN LA ADQUISICION DE HERRAMIENTAS CON TECNOLOGIA VANGUARDISTA EN LOS HOGARES, ESPECIALMENTE LAS HERRAMIENTAS COMPUTACIONALES EJEMPLO DE ESTE TIPO DE EQUIPOS HOGARENOS SON LOS MONITORES DE BEBES, QUE INCORPORAN TECNOLOGIA AVANZADA PARA LLEVAR A CABO DIVERSAS FUNCIONALIDADES CON EL FIN DE AYUDAR A LOS PADRES EN EL CUIDADO Y VIGILANCIA DE SU BEBE SIN EMBARGO, ESTA TECNOLOGIA INCORPORADA A LOS MONITORES DE BEBES INCREMENTA LOS COSTOS ASOCIADOS AL PRODUCTO FINAL, POR LO PUEDEN SER UNA OPCION POCO RENTABLE AL MOMENTO DE ADQUIRIRLOS POR OTRA PARTE, EL GRAN DESARROLLO QUE HA TENIDO EL AREA DE LAS COMUNICACIONES HA PERMITIDO, ENTRE OTRAS COSAS, EL IMPULSO DE LAS REDES INALAMBRICAS, HACIENDO QUE AHORA CUENTEN CON MAYOR AUGE Y ACEPTACION EN EL AMBITO TECNOLOGICO Y EN EL MERCADO MUNDIAL POR TODO LO MENCIONADO ANTERIORMENTE, EN ESTE TRABAJO DE INVESTIGACION SE PROPONE EL ANALISIS, DISENO Y DESARROLLO DE UN SISTEMA DE MONITOREO MATERNAL ADECUADO Y VERSATIL PARA EL CUIDADO Y VIGILANCIA DE LOS INFANTES, A PARTIR DE LA REUTILIZACION Y EL APROVECHAMIENTO DE LAS CAPACIDADES DE LOS EQUIPOS COMPUTACIONALES Y DISPOSITIVOS MULTIMEDIA, UTILIZANDO LAS TECNOLOGIAS DE COMUNICACION INALAMBRICA WIFI Y BLUETOOTH, PARA LA TRANSMISION DE AUDIO Y VIDEO EN TIEMPO REAL ESTE SISTEMA CONCIBE UNA IDEA INNOVADORA POR NO EXISTIR UN MONITOR DE BEBE CON ESTAS CARACTERISTICAS ACTUALMENTE EN EL MERCADO, YA QUE PERMITE REALIZAR LA FUNCION DE TRANSMITIR Y RECIBIR FLUJO DE AUDIO, VIDEO Y AUDIOVIDEO, ADEMAS DE AGREGAR EN EL DISPOSITIVO RECEPTOR LA FUNCIONALIDAD PARA GRABAR Y GUARDAR EL AUDIO O VIDEO RECIBIDO TODA LA INFORMACION ES TRANSMITIDA EN TIEMPO REAL CON LA FINALIDAD DE PODER MONITOREAR AL NINO EN CUALQUIER LUGAR Y MOMENTO DE MANERA INMEDIATA, LO QUE PERMITE A LOS PADRES ACTUAR DE MANERA OPORTUNA ANTES CUALQUIER CIRCUNSTANCIA, O SIMPLEMENTE REFORZAR LA VIGILANCIA DEL BEBE',?,'REDES DE COMPUTADORAS'
'EVALUACION DE LOS MECANISMOS Y PROTOCOLOS DE SEGURIDAD DESARROLLADOS PARA  REDES BLUETOOTH', 'LAS REDES DE AREA LOCAL INALAMBRICAS CON TECNOLOGIA BLUETOOTH REPRESENTAN UNA INNOVACION EN LO QUE A REDES DE AREA LOCAL SE REFIERE, PERMITIENDO LA INTERCONEXION DE DISPOSITIVOS INALAMBRICOS SIN USAR MEDIOS DE TRANSMISION GUIADOS COMO EL CABLE POR EJEMPLO, LO QUE PROPORCIONA MAYOR COMODIDAD Y MOVILIDAD AHORA BIEN, ESTA COMODIDAD DE ACCESO TAMBIEN TRAE COMO CONSECUENCIA QUE CUALQUIER USUARIO AJENO A LA RED PUEDA CONECTARSE Y REALIZAR ACCIONES INDEBIDAS QUE PUEDAN COMPROMETER LA RED PENSANDO EN ESTO, LA ESPECIFICACION DE BLUETOOTH, PROPUSO UN CONJUNTO DE MECANISMOS DE SEGURIDAD QUE CONTRARRESTEN ESTE PROBLEMA CON EL FIN DE PROTEGERSE ANTE CUALQUIER INTENTO DE ATAQUE  SIN EMBARGO, SE DEBE MENCIONAR QUE EXISTEN PROBLEMAS CON ESTOS MECANISMOS DEFINIDOS POR EL ESTANDAR BLUETOOTH, POR LO QUE EL HECHO DE DETERMINAR QUE TAN SEGURO PUEDAN SER ESTOS MECANISMOS FUE LO QUE MOTIVO PARA LA REALIZACION DE ESTE TRABAJO, EL CUAL PERMITE ESTUDIAR DE MANERA MAS PROFUNDA ESTOS MECANISMOS PARA LUEGO IMPLEMENTARLOS Y POSTERIORMENTE EVALUARLOS, PARA ASI DETECTAR DEBILIDADES EN LOS MISMOS ASI COMO TAMBIEN SE BUSCA DETERMINAR CUALES SON LOS BENEFICIOS QUE PUDIERAN PROPORCIONAR Y DE ESTA MANERA, LUEGO DE HABER ANALIZADO LOS RESULTADOS OBTENIDOS COMO PRODUCTO DE LA EVALUACION, SE LLEGASE A DEFINIR UN AMBIENTE DE RED QUE CUBRA LAS NECESIDADES DE LOS USUARIOS, DONDE ESTAS NECESIDADES SE PUEDEN TRADUCIR EN DOS ASPECTOS FUNDAMENTALES QUE SON LA SEGURIDAD DE LOS USUARIOS Y LA SEGURIDAD DE LA INFORMACION CON ESTE TRABAJO SE PRETENDE DAR UN APORTE A LAS REDES DE AREA PERSONAL BASADAS EN BLUETOOTH, CONFIGURANDO DENTRO DE SU AMBIENTE, MECANISMOS Y PROTOCOLOS DE SEGURIDAD PROPORCIONADOS PARA ESTE TIPO DE REDES, QUE PERMITAN CREAR UN AMBIENTE DE RED MAS CONFIABLE',?,'REDES DE COMPUTADORAS'
'DESARROLLO DE UNA HERRAMIENTA PARA PDA’S PARA EL SOPORTE DE VENTAS DE ARTESANIA PARA JOVENES DISCAPACITADOS', 'LA PRESENTE INVESTIGACION SE BASA EN EL DESARROLLO DE UNA HERRAMIENTA PARA ASISTENTES DIGITALES PERSONALES PDA PARA EL SOPORTE DE VENTAS DE ARTESANIA PARA JOVENES DISCAPACITADOS, DEFINIENDO A LOS PDA COMO PEQUENOS COMPUTADORES PORTATILES CON LOS QUE SE INTERACTUA A TRAVES DE UN DISPOSITIVO ESPECIAL SIMILAR A UN LAPIZ STYLUS Y QUE USUALMENTE CUENTAN CON FACILIDADES DE COMUNICACION, EN PARTICULAR INALAMBRICAS EL PRESENTE ESTUDIO SE BASO EN IDENTIFICAR LAS NECESIDADES DE LOS JOVENES DISCAPACITADOS DE LA FUNDACION INTEGRACION A LA VIDA FUNDAINVID UCV, ESTABLECER EL CONJUNTO DE REQUERIMIENTOS QUE IMPLEMENTARA EL SOFTWARE A FIN DE CUBRIR LAS NECESIDADES DE LOS JOVENES DISCAPACITADOS DE LA FUNDACION, DISENAR UN SOPORTE TECNOLOGICO PARA DISPOSITIVOS DE COMUNICACION PDA, IMPLEMENTAR EL SOFTWARE Y EVALUAR A TRAVES DE PRUEBAS PILOTO EL FUNCIONAMIENTO DEL SOFTWARE EL SOFTWARE FUE DESARROLLADO EN DOS MODULOS UNO CON EL OBJETIVO DE REGISTRAR LAS VENTAS DE LAS ARTESANIAS ELABORADAS POR LOS ALUMNOS Y OTRO PARA AYUDAR A REALIZAR LOS PRESUPUESTOS ASOCIADOS A LOS COSTO DE LAS ARTESANIAS REALIZADAS COMO INSTRUMENTO DE RECOLECCION DE DATOS SE UTILIZO EN PRIMER LUGAR LA OBSERVACION DIRECTA, PARA ASI DETECTAR Y REGISTRAR EL COMPORTAMIENTO HUMANO DE LOS JOVENES ANTE EL USO DEL SOFTWARE, REACCIONES ANTE EL USO DE HERRAMIENTAS TECNOLOGICAS Y POR ULTIMO LA TECNICA DE LA ENCUESTA BAJO LA MODALIDAD DEL CUESTIONARIO, REALIZADA A LA PROFESORA Y A LOS 3 ESTUDIANTES QUE CONFORMAN ACTUALMENTE LA POBLACION DE LA FUNDACION, CON EL PROPOSITO DE ESTABLECER LOS NIVELES DE APRENDIZAJE DESARROLLADOS POR LOS JOVENES UNA VEZ REALIZADAS LAS PRUEBAS DEL SOFTWARE SE OBSERVO QUE LOS ALUMNOS PUEDEN REALIZAR CON LA APLICACION VENTAS Y PRESUPUESTOS DE UNA FORMA MAS INDEPENDIENTE, ADEMAS SE LOGRO INCORPORAR EL USO DE UNA HERRAMIENTA COMO EL PDA A LAS ACTIVIDADES RUTINARIAS DE JOVENES CON DISCAPACIDAD', 'SOFTWARE, DISCAPACIDAD, VENTAS, PDA, BLUETOOTH','REDES DE COMPUTADORAS'
'EVALUACION DE LOS MECANISMOS Y PROTOCOLOS DE SEGURIDAD DESARROLLADOS PARA REDES INALAMBRICAS 80211B', 'LAS REDES DE AREA LOCAL INALAMBRICAS REPRESENTAN UNA INNOVACION EN LO QUE A REDES DE AREA LOCAL SE REFIERE, PERMITIENDO LA INTERCONEXION DE DISPOSITIVOS INALAMBRICOS SIN USAR MEDIOS DE TRANSMISION GUIADOS COMO EL CABLE POR EJEMPLO, LO QUE PROPORCIONA MAYOR COMODIDAD Y MOVILIDAD AHORA BIEN, ESTA COMODIDAD DE ACCESO TAMBIEN TRAE COMO CONSECUENCIA QUE CUALQUIER USUARIO AJENO A LA RED PUEDA CONECTARSE Y REALIZAR ACCIONES INDEBIDAS QUE PUEDAN COMPROMETER LA RED PENSANDO EN ESTO, EL ESTANDAR 80211B, QUE ES LA TECNOLOGIA INALAMBRICA DE MAYOR AUGE EN LA ACTUALIDAD, PROPUSO UN CONJUNTO DE MECANISMOS DE SEGURIDAD QUE CONTRARRESTEN ESTE PROBLEMA CON EL FIN DE PROTEGERSE ANTE CUALQUIER INTENTO DE ATAQUE SIN EMBARGO, SE DEBE MENCIONAR QUE EXISTEN PROBLEMAS CON ESTOS MECANISMOS DEFINIDOS POR EL ESTANDAR 80211B, POR LO QUE EL HECHO DE DETERMINAR QUE TAN SEGURO PUEDAN SER ESTOS MECANISMOS FUE LO QUE NOS MOTIVO PARA LA REALIZACION DE ESTE TRABAJO, EL CUAL NOS PERMITIO ESTUDIAR DE MANERA MAS PROFUNDA ESTOS MECANISMOS PARA LUEGO IMPLEMENTARLOS Y POSTERIORMENTE EVALUARLOS, PARA ASI DETECTAR DEBILIDADES EN LOS MISMOS, ASI COMO TAMBIEN DETERMINAR CUALES SON LOS BENEFICIOS QUE PUDIERAN PROPORCIONAR Y DE ESTA MANERA, LUEGO DE HABER ANALIZADO LOS RESULTADOS OBTENIDOS COMO PRODUCTO DE LA EVALUACION, SE LLEGASE A DEFINIR UN AMBIENTE DE RED QUE CUBRA LAS NECESIDADES DE LOS USUARIOS, DONDE ESTAS NECESIDADES SE PUEDEN TRADUCIR EN DOS ASPECTOS FUNDAMENTALES QUE SON LA SEGURIDAD DE LOS USUARIOS Y LA SEGURIDAD DE LA INFORMACION POR LO QUE CON ESTE TRABAJO SE PRETENDE DAR UN APORTE A LAS REDES DE AREA LOCAL INALAMBRICA, CONFIGURANDO DENTRO DE SU AMBIENTE, MECANISMOS Y PROTOCOLOS DE SEGURIDAD PROPORCIONADOS PARA ESTE TIPO DE REDES, QUE PERMITAN CREAR UN AMBIENTE DE RED MAS CONFIABLE',?,'REDES DE COMPUTADORAS'
'DESARROLLO DE UN SOFTWARE DE ADMINISTRACION Y CONFIGURACION PARA UN PUNTO DE ACCESO INALAMBRICO 80211B', 'LAS REDES DE AREA LOCAL INALAMBRICAS WIRELESS LOCAL AREA NETWOKS, WLANS HAN TENIDO MUCHA ACEPTACION EN LOS ULTIMOS ANOS ESTAS SON COMUNMENTE USADAS EN OFICINAS, UNIVERSIDADES, HOGARES, ADEMAS DE AREAS PUBLICAS COMO HOTELES, AEROPUERTOS, RESTAURANTES ES MUY COMUN EN ESTE TIPO DE REDES QUE LOS USUARIOS FINALES, COMPREN E INSTALEN EQUIPOS SIN UNA PREVIA PLANEACION Y DISENO LA CONSECUENCIA DE ESTA FALTA DE PLANIFICACION ES UN DEFICIENTE DESEMPENO Y EN CASOS MUY EXTREMOS, EL ROBO DE LA INFORMACION LA INSTALACION Y LA CONFIGURACION DE UNA WLAN PUEDEN SER UN PROCESO MUY SENCILLO, PERO PRECISAMENTE ESTO LAS HACE SER UN BLANCO FACIL PARA ATAQUES, POR ESO ES IMPORTANTE UNA BUENA CONFIGURACION Y ADMINISTRACION DE LA RED EN LA MAYORIA DE LOS CASOS ESTA ADMINISTRACION SE LLEVA A CABO A TRAVES DE LOS PUNTOS DE ACCESO, MEDIANTE EL SOFTWARE DE ADMINISTRACION Y CONFIGURACION QUE POSEEN LOS MISMOS, DE AHI LA IMPORTANCIA DE CONTAR CON UN SOFTWARE DE ADMINISTRACION DE GRAN CALIDAD Y QUE PUEDA OFRECER A LOS USUARIOS TODAS LAS FUNCIONALIDADES NECESARIAS PARA LLEVAR A CABO UNA BUENA GESTION DE LA RED',?,'REDES DE COMPUTADORAS'
'ANALISIS DEL RENDIMIENTO DE VOIP EN REDES 80211BG', 'LA CONSTANTE EVOLUCION DE LAS REDES INALAMBRICAS Y LAS VENTAJAS QUE ESTAS OFRECEN, HAN PERMITIDO QUE ESTAS TECNOLOGIAS SE VUELVAN MUY POPULARES, SIENDO CADA VEZ MAS UTILIZADAS POR TODAS LAS GRANDES EMPRESAS PARA PROVEER CONECTIVIDAD EN SUS INSTALACIONES POR LAS CARACTERISTICAS DE LAS REDES INALAMBRICAS NO SE ESPERA QUE ESTAS SUPLANTEN A LAS CABLEADAS, POR LO MENOS POR LOS MOMENTOS, YA QUE ESTAS TIENEN LIMITANTES DE VELOCIDAD Y SEGURIDAD, EN COMPARACION CON LAS CABLEADAS EN LA ACTUALIDAD EL GRUPO IEEE 80211 ESTA TRABAJANDO PARA REDUCIR ESTAS DEBILIDADES, TAL ES EL CASO, QUE DESDE ENERO DEL 2004 SE ESTA DESARROLLANDO EL NUEVO ESTANDAR 80211N QUE ES 10 VECES MAS RAPIDO QUE EL 80211 G O EL 80211A[19] POR OTRO LADO, EL DESARROLLO DE LA TECNOLOGIA DE VOZ SOBRE IP, HACE QUE CADA VEZ MAS EMPRESAS OPTEN POR ESTA SOLUCION PARA PODER COMUNICAR TODAS SUS SUCURSALES EN DISTINTAS PARTES DEL MUNDO EN TIEMPO REAL EN CUANTO A LA VOZ SOBRE IP, SE TIENE QUE ES UNA TECNOLOGIA EN DESARROLLO, AL PUNTO QUE HOY EN DIA INTERNET Y LA WEB HAN GENERADO MAS INNOVACIONES QUE LA TELEFONIA CONVENCIONAL, Y APROXIMADAMENTE UN 60 DE LAS EMPRESAS MAS RECONOCIDAS DEL MUNDO UTILIZAN ESTA TECNOLOGIA PARA MANTENER COMUNICADAS SUS DISTINTAS SUCURSALES EN TODO EL MUNDO ACTUALMENTE EN VENEZUELA HA SURGIDO UN GRAN INTERES EN ESTAS DOS  TECNOLOGIAS, TANTO EN EMPRESAS PRIVADAS COMO GUBERNAMENTALES, LAS CUALES SE ENCUENTRAN IMPLEMENTANDO SOLUCIONES CON ESTAS TECNOLOGIAS',?,'REDES DE COMPUTADORAS'
'DESARROLLO DE UNA APLICACION ADAPTATIVA PARA LA GESTION DE DOCUMENTOS ELECTRONICOS DE LA BIBLIOTECA ALONSO GAMERO', 'A LO LARGO DE SU EXISTENCIA, LA BIBLIOTECA ALONSO GOMERO DE LA FACULTAD DE CIENCIAS DE LA UCV HA SIDO RESPONSABLE DEL ALMACENAMIENTO Y RESGUARDO DEL MATERIAL INTELECTUAL GENERADO POR ESTUDIANTES Y PROFESORES DE LA FACULTAD DE CIENCIAS, COMO LO SON LAS TESIS Y OTROS TRABAJOS ESPECIALES ESTOS DOCUMENTOS, HASTA AHORA RECIBIDOS EN PAPEL, SON GUARDADOS EN LAS INSTALACIONES DE LA BIBLIOTECA, OCUPANDO UN ESPACIO FISICO IMPORTANTE Y SIENDO SOMETIDOS A LOS EFECTOS DE FACTORES AMBIENTALES TALES COMO LA HUMEDAD, LO CUAL CONLLEVA AL DETERIORO DE ESTOS CON EL PASO DEL TIEMPO, Y EVENTUALMENTE, LA PERDIDA TOTAL DE LOS MISMOS EN PLENO SIGLO XXI, ESTO PARECE SER ALGO OBSOLETO, CONSIDERANDO LOS AVANCES TECNOLOGICOS EN MATERIA DE BIBLIOTECAS DIGITALES Y DEMAS FORMAS DE ALMACENAMIENTO DIGITAL POR ESTO, GRACIAS A LA INICIATIVA DE LA BIBLIOTECA MISMA Y EL CENTRO DE COMPUTACION DE LA FACULTAD DE CIENCIAS DE LA UCV, SE DESARROLLO UNA HERRAMIENTA, BASADA EN WEB, CAPAZ DE SERVIR COMO REPOSITORIO DIGITAL DE ESTOS DOCUMENTOS, ADEMAS DE TODAS LAS FUNCIONALIDADES TIPICAS DE UN SISTEMA MODERNO DE ALMACENAMIENTO DIGITAL COMO BUSQUEDAS ESPECIALIZADAS, CONTACTO DE AUTORES, Y POSIBILIDADES DE ACCESO AL SISTEMA DESDE CUALQUIER DISPOSITIVO MOVIL  CON CAPACIDADES DE NAVEGACION ESTE TRABAJO SE BASA EN EL ANALISIS, DISENO Y DESARROLLO DE UNA APLICACION DENOMINADA “APLICACION ADAPTATIVA PARA LA GESTION DE DOCUMENTOS ELECTRONICOS DE LA BIBLIOTECA ALONSO GAMERO” LA CUAL PROPORCIONA, UNA SERIE DE SERVICIOS QUE PERMITEN EL ACCESO VIA WEB A ESTE REPOSITORIO Y EL MANEJO ADMINISTRATIVO DEL SISTEMA, DENTRO DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA', 'BIBLIOTECA DIGITAL, DISPOSITIVOS MOVILES, DOCUMENTOS ELECTRONICOS, APLICACIONES ADAPTATIVAS','REDES DE COMPUTADORAS'
